Author,Article url,Image count,recommends/shares,Hyperlink count,Time to read,Date,Genre with code
Melody Quintana,https://medium.com/dropbox-design/designers-who-play-with-words-2ea8a7afb9bb,1,1900,2,6,12/21/2017,Design 6
Paul Ford,https://medium.com/message/how-to-be-polite-9bf1e69e888c,1,8300,1,9,12/21/2017,Self help 1
Robyn Scott,https://medium.com/swlh/the-30-second-habit-with-a-lifelong-impact-2c3f948ead98,1,5300,1,5,12/22/2017,Self help 1
Julie Zhou,https://medium.com/the-year-of-the-looking-glass/junior-designers-vs-senior-designers-fbe483d3b51e,3,7500,3,2,12/23/2017,Self help 1
Dustin Moskowitz,https://medium.com/building-asana/work-hard-live-well-ead679cb506d,3,5100,3,5,12/24/2017,Self help 1
Darius Fourux,https://medium.com/@dariusforoux/3-ways-to-deal-with-jerks-at-work-9bbe55e14590,2,769,2,5,12/25/2017,Self help 1
Andrew Merie,https://medium.com/personal-growth/why-you-should-be-a-morning-person-8dc34fbe592b,1,5200,1,3,12/26/2017,Work culture 2
David Heinmer Hansson,https://m.signalvnoise.com/reconsider-41adf356857f,4,14200,2,12,12/27/2017,Self help 1
Nir Eyal,https://medium.com/startup-grind/forming-new-habits-train-to-be-an-amateur-not-an-expert-b63a18a935c8,3,1200,2,5,12/28/2017,Self help 1
Raymmar Tirado,https://medium.com/raymmars-reads/7-reasons-why-you-will-never-do-anything-amazing-with-your-life-2a1841f1335d,2,5400,0,7,12/29/2017,Self help 1
Ezra Klein,https://www.vox.com/explainers/2018/1/9/16860598/michael-wolff-fire-fury-donald-trump-book,5,5700,2,8,12/30/2017,Politics 3
Nicholas Niarchos,https://www.newyorker.com/magazine/2018/01/22/how-the-us-is-making-the-war-in-yemen-worse,1,3200,1,9,12/31/2017,Politics 3
Quentin Richardson,https://www.theplayerstribune.com/letter-to-my-younger-self-quentin-richardson/,5,1800,3,11,1/1/18,Sports 4
Benjamin P Hardy,https://medium.com/the-mission/8-things-every-person-should-do-before-8-a-m-cc0233e15c8d,,29000,,8,3/1/18,Self help 1
Caitlin Winner,https://medium.com/facebook-design/how-we-changed-the-facebook-friends-icon-dc8526ea9ea8,7,7700,0,5,04/01/2018,Work culture 2
Andrew Wilkinson,https://medium.com/@awilkinson/slack-s-2-8-billion-dollar-secret-sauce-5c5ec7117908,3,11200,1,7,05/01/2018,Work culture 2
Julia Cheiffetz,https://medium.com/@jcheiffetz/i-had-a-baby-and-cancer-when-i-worked-at-amazon-this-is-my-story-9eba5eef2976,0,6300,2,5,06/01/2018,Work culture 2
Andrew Watts,https://medium.com/p/1df945c09ac6,5,7300,2,14,07/01/2018,Sociology 5
Jason Fried,https://medium.com/p/b8115d6f2361,1,4600,1,3,07/01/2018,Work culture 2
Claire Lew,https://m.signalvnoise.com/the-3-types-of-bullshit-feedback-and-what-to-do-about-them-5de483530c3f,1,1200,1,3,08/01/2018,Self help 1
James Altucher,https://medium.com/the-mission/the-ten-most-important-books-to-expand-your-brain-a387cc0c5db6,1,4100,2,4,09/01/2018,Self help 1
Reid Hoffman,https://medium.com/@reidhoffman/the-human-rights-of-women-entrepreneurs-c6da801de9db,0,522,0,5,11/01/2018,Work culture 2
Tim Maly,https://medium.com/weird-future/we-have-always-coded-2acc5ba75929,2,144,4,5,18/08/2018,Design 6
